Application_ID,batch,Candidate_Name,Father_Name,Mobile_No,E_Mail_ID,Category,Course_Name
EN21107535,2022,Anuja Shankar Lanjewar,Shankar Lanjewar,9876543201,anuja.lanjewar@example.com,General,B.Tech
EN21107536,2022,Atharva Ramesh Warade,Ramesh Warade,9876543202,atharva.warade@example.com,General,B.Tech
EN21107537,2022,Ishika Sunil Patil,Sunil Patil,9876543203,ishika.patil@example.com,OBC,B.Tech
EN21107538,2022,Rohan Rajesh Kulkarni,Rajesh Kulkarni,9876543204,rohan.kulkarni@example.com,General,B.Tech
EN21107539,2022,Prajakta Anil Deshmukh,Anil Deshmukh,9876543205,prajakta.deshmukh@example.com,SC,B.Tech
EN21107540,2022,Aditya Sanjay Gawande,Sanjay Gawande,9876543206,aditya.gawande@example.com,General,B.Tech
EN21107541,2022,Snehal Vijayrao More,Vijayrao More,9876543207,snehal.more@example.com,OBC,B.Tech
EN21107542,2022,Yash Shriniwas Pawar,Shriniwas Pawar,9876543208,yash.pawar@example.com,General,B.Tech
EN21107543,2022,Vaishnavi Sudhir Kale,Sudhir Kale,9876543209,vaishnavi.kale@example.com,OBC,B.Tech
EN21107544,2022,Madhura Suresh Shinde,Suresh Shinde,9876543210,madhura.shinde@example.com,General,B.Tech
EN21107545,2022,Aryan Pravin Jadhav,Pravin Jadhav,9876543211,aryan.jadhav@example.com,SC,B.Tech
EN21107546,2022,Tanvi Milind Patil,Milind Patil,9876543212,tanvi.patil@example.com,General,B.Tech
EN21107547,2022,Rutik Prakash Wankhede,Prakash Wankhede,9876543213,rutik.wankhede@example.com,OBC,B.Tech
EN21107548,2022,Nisha Rajesh Patil,Rajesh Patil,9876543214,nisha.patil@example.com,General,B.Tech
EN21107549,2022,Tejaswini Dinesh Kulkarni,Dinesh Kulkarni,9876543215,tejaswini.kulkarni@example.com,General,B.Tech
EN21107550,2022,Shubham Arun Gaikwad,Arun Gaikwad,9876543216,shubham.gaikwad@example.com,SC,B.Tech
EN21107551,2022,Aditi Ramesh Salunkhe,Ramesh Salunkhe,9876543217,aditi.salunkhe@example.com,OBC,B.Tech
EN21107552,2022,Omkar Pradeep Kshirsagar,Pradeep Kshirsagar,9876543218,omkar.kshirsagar@example.com,General,B.Tech
EN21107553,2022,Sakshi Mahendra Mahajan,Mahendra Mahajan,9876543219,sakshi.mahajan@example.com,General,B.Tech
EN21107554,2022,Hrishikesh Umesh Deshpande,Umesh Deshpande,9876543220,hrishikesh.deshpande@example.com,OBC,B.Tech
